"task_id","cell_id","model","n","informative","rep","dgm_tag","brier","cal_int","cal_slope","mean_pred","obs_rate","ndiv","ebfmi"
"c3_floor_n300_ni_r050",3,"floor",300,FALSE,50,"v2_cohort_posterior_hazard",0.109011856355043,1.23659060013567,1.54373705359478,0.610149095284342,0.753333333333333,0,0.696450525826154
"c3_floor_n300_ni_r051",3,"floor",300,FALSE,51,"v2_cohort_posterior_hazard",0.115814163372073,1.30925934975076,1.68403246085575,0.558135327657032,0.7,0,0.635796085793293
"c3_floor_n300_ni_r052",3,"floor",300,FALSE,52,"v2_cohort_posterior_hazard",0.10112541282321,1.26422297052816,1.69278499592094,0.563116371802311,0.693333333333333,0,0.619958774658694
"c3_floor_n300_ni_r053",3,"floor",300,FALSE,53,"v2_cohort_posterior_hazard",0.124545827401834,1.31943514639195,1.38349385182424,0.566614300351151,0.713333333333333,0,0.632253179172187
"c3_floor_n300_ni_r054",3,"floor",300,FALSE,54,"v2_cohort_posterior_hazard",0.0988046185619022,1.4345017764218,1.78831802711012,0.582153718518832,0.72,0,0.648305459539233
"c3_floor_n300_ni_r055",3,"floor",300,FALSE,55,"v2_cohort_posterior_hazard",0.111459628805474,1.37546650854553,1.68664175813194,0.568445627578739,0.713333333333333,0,0.683089462704451
"c3_floor_n300_ni_r056",3,"floor",300,FALSE,56,"v2_cohort_posterior_hazard",0.0844711402570846,1.48008486722282,1.88306297653895,0.614698541423037,0.736666666666667,0,0.56817794647678
"c3_floor_n300_ni_r057",3,"floor",300,FALSE,57,"v2_cohort_posterior_hazard",0.0929006305786395,1.1129909125374,1.85040213491709,0.62297856393902,0.743333333333333,0,0.580356496209909
"c3_floor_n300_ni_r058",3,"floor",300,FALSE,58,"v2_cohort_posterior_hazard",0.106900034012683,1.48881645323653,1.71176575191629,0.569338588492397,0.716666666666667,0,0.593385008916672
"c3_floor_n300_ni_r059",3,"floor",300,FALSE,59,"v2_cohort_posterior_hazard",0.113991625754941,1.24308934766858,1.53048024389235,0.571786194786591,0.71,0,0.594872198898571
